TG,TF,promoter,TFbs,coef,mse
PATJ,POU2F1,chr1:61739977-61744976,promoter,0.10062861952247439,2.8627412315839518
PATJ,NR1D2,chr1:61739977-61744976,promoter,0.04347953669082878,2.8627412315839518
PATJ,THRB,chr1:61739977-61744976,promoter,0.026383181584232963,2.8627412315839518
PATJ,BCL6,chr1:61739977-61744976,promoter,-0.019153541232951817,2.8627412315839518
PATJ,NR3C2,chr1:61739977-61744976,promoter,0.09093655412131132,2.8627412315839518
PATJ,IRF2,chr1:61739977-61744976,promoter,0.0533657837211603,2.8627412315839518
PATJ,NR3C1,chr1:61739977-61744976,promoter,0.015603980728810087,2.8627412315839518
PATJ,ZSCAN31,chr1:61739977-61744976,promoter,0.09767200346299403,2.8627412315839518
PATJ,ZNF76,chr1:61739977-61744976,promoter,0.035633448343639906,2.8627412315839518
PATJ,ESR1,chr1:61739977-61744976,promoter,0.13191850540161024,2.8627412315839518
PATJ,SP4,chr1:61739977-61744976,promoter,-0.06976081419109702,2.8627412315839518
PATJ,NFIB,chr1:61739977-61744976,promoter,0.015373528005764326,2.8627412315839518
PATJ,NR6A1,chr1:61739977-61744976,promoter,0.09802767020760897,2.8627412315839518
PATJ,PBX3,chr1:61739977-61744976,promoter,-0.05319748946561576,2.8627412315839518
PATJ,PKNOX2,chr1:61739977-61744976,promoter,0.08825051246271472,2.8627412315839518
PATJ,ZNF140,chr1:61739977-61744976,promoter,0.27073534122233295,2.8627412315839518
PATJ,FOXO1,chr1:61739977-61744976,promoter,-0.06661558152416085,2.8627412315839518
PATJ,ESR2,chr1:61739977-61744976,promoter,0.0418331529269675,2.8627412315839518
PATJ,ZNF410,chr1:61739977-61744976,promoter,0.02195034829091283,2.8627412315839518
PATJ,MEF2A,chr1:61739977-61744976,promoter,0.09123899233163721,2.8627412315839518
PATJ,ONECUT2,chr1:61739977-61744976,promoter,-0.1017050982004952,2.8627412315839518
PATJ,NFIC,chr1:61739977-61744976,promoter,0.012929014788112985,2.8627412315839518
PATJ,RFX2,chr1:61739977-61744976,promoter,0.08610911786717815,2.8627412315839518
PATJ,NFIX,chr1:61739977-61744976,promoter,0.04803236550622316,2.8627412315839518
PATJ,ZNF675,chr1:61739977-61744976,promoter,1.2084742337747338e-4,2.8627412315839518
PATJ,ZNF382,chr1:61739977-61744976,promoter,0.027577808286035715,2.8627412315839518
PATJ,POU2F2,chr1:61739977-61744976,promoter,0.1288688737567728,2.8627412315839518
PATJ,ZNF320,chr1:61739977-61744976,promoter,0.1791656277240814,2.8627412315839518
PATJ,ZNF135,chr1:61739977-61744976,promoter,0.05483168292587946,2.8627412315839518
PATJ,PKNOX1,chr1:61739977-61744976,promoter,0.11343137403945851,2.8627412315839518
ST6GALNAC5,MTF1,chr1:76864980-76869979,promoter,0.7220350036059979,52.26393329063412
ST6GALNAC5,MEF2D,chr1:76864980-76869979,promoter,0.2860468141609108,52.26393329063412
ST6GALNAC5,POU2F1,chr1:76864980-76869979,promoter,0.7561340196808348,52.26393329063412
ST6GALNAC5,ZNF281,chr1:76864980-76869979,promoter,0.265473844783713,52.26393329063412
ST6GALNAC5,PPARG,chr1:76864980-76869979,promoter,0.23625519405985926,52.26393329063412
ST6GALNAC5,NR1D2,chr1:76864980-76869979,promoter,0.09809429709853058,52.26393329063412
ST6GALNAC5,BCL6,chr1:76864980-76869979,promoter,0.40674957080091445,52.26393329063412
ST6GALNAC5,NFKB1,chr1:76864980-76869979,promoter,0.31862713639406187,52.26393329063412
ST6GALNAC5,ZNF354A,chr1:76864980-76869979,promoter,1.3741001976213134,52.26393329063412
ST6GALNAC5,ZNF454,chr1:76864980-76869979,promoter,0.06856323849147361,52.26393329063412
ST6GALNAC5,ZSCAN31,chr1:76864980-76869979,promoter,0.17824147705952859,52.26393329063412
ST6GALNAC5,ZNF76,chr1:76864980-76869979,promoter,0.954180154784333,52.26393329063412
ST6GALNAC5,PPARD,chr1:76864980-76869979,promoter,0.6924700756593577,52.26393329063412
ST6GALNAC5,ESR1,chr1:76864980-76869979,promoter,0.10638812907181582,52.26393329063412
ST6GALNAC5,PLAG1,chr1:76864980-76869979,promoter,0.7793611246252121,52.26393329063412
ST6GALNAC5,SCRT1,chr1:76864980-76869979,promoter,-0.013021826710524622,52.26393329063412
ST6GALNAC5,ZNF16,chr1:76864980-76869979,promoter,0.3070319536539822,52.26393329063412
ST6GALNAC5,RFX3,chr1:76864980-76869979,promoter,0.45057228426133283,52.26393329063412
ST6GALNAC5,RXRA,chr1:76864980-76869979,promoter,0.6086315846360563,52.26393329063412
ST6GALNAC5,ZNF143,chr1:76864980-76869979,promoter,0.11402669297940295,52.26393329063412
ST6GALNAC5,STAT2,chr1:76864980-76869979,promoter,-0.04604919124738898,52.26393329063412
ST6GALNAC5,FOXO1,chr1:76864980-76869979,promoter,0.20706310930516825,52.26393329063412
ST6GALNAC5,ESR2,chr1:76864980-76869979,promoter,0.6680069173644632,52.26393329063412
ST6GALNAC5,KLF13,chr1:76864980-76869979,promoter,-0.058362886008897684,52.26393329063412
ST6GALNAC5,MEF2A,chr1:76864980-76869979,promoter,0.2038332647960686,52.26393329063412
ST6GALNAC5,ZNF263,chr1:76864980-76869979,promoter,0.5397933948793275,52.26393329063412
ST6GALNAC5,CTCF,chr1:76864980-76869979,promoter,0.6928953349425656,52.26393329063412
ST6GALNAC5,THAP11,chr1:76864980-76869979,promoter,-0.5901883908409801,52.26393329063412
