p_val,avg_log2FC,pct.1,pct.2,p_val_adj,regions
2.6765293253944973e-31,0.8722131035285212,0.058,0.032,7.837279344153897e-26,chr3-87792142-87793762
6.024217914175577e-21,0.7090091219088848,0.052,0.032,1.7639813685393217e-15,chr9-74496763-74497728
5.289203539352118e-19,0.7445311652411757,0.05,0.03,1.5487581343753905e-13,chr3-155747488-155749469
2.0910680576363916e-18,0.7173008132760534,0.052,0.032,6.122960932968e-13,chr9-71024367-71027026
1.5904527662780864e-17,0.7070743626215341,0.051,0.031,4.657084267577179e-12,chr11-103265991-103267165
1.0509463045838992e-16,0.7303404937332765,0.054,0.032,3.077328421767344e-11,chr11-12084896-12087418
1.656490158949733e-16,0.7054909138184247,0.05,0.031,4.8504516589286606e-11,chr3-23980823-23982964
1.492788837652059e-15,0.6584469101411621,0.053,0.033,4.3711096349708765e-10,chr5-31502161-31503347
1.7336922388581408e-15,0.5600525637818907,0.072,0.049,5.076510929212464e-10,chr7-86643447-86644368
3.6651006840253515e-15,0.6665315763362694,0.052,0.033,1.0731964567928834e-9,chr9-21558230-21560428
5.199149996426805e-15,0.6827214688068795,0.05,0.031,1.5223891062037149e-9,chr18-70426542-70427551
5.890946890655654e-15,0.6277156562307633,0.062,0.04,1.7249576137873353e-9,chr8-72580917-72582917
3.993510914502106e-14,0.6162323889687462,0.056,0.036,1.1693598984299341e-8,chr7-6503398-6504411
1.6514558002495213e-13,0.6092408576029857,0.064,0.042,4.835710301500636e-8,chr9-79256584-79258491
6.034767911283841e-13,0.6080120180731763,0.062,0.041,1.767070565942578e-7,chr1-190474395-190476282
7.678974293035561e-12,0.5855679046619722,0.057,0.038,2.248518857615208e-6,chr4-80266187-80267212
5.0022887379046105e-11,0.5795325111662031,0.056,0.037,1.4647451767895385e-5,chr4-80183613-80184660
5.187687353537274e-11,0.6115007366501848,0.05,0.033,1.5190326724260169e-5,chr6-99990636-99992464
5.77381756002847e-11,0.6067223551631198,0.051,0.034,1.6906603888397364e-5,chr9-116985471-116987820
1.3451552591977447e-10,0.5712715396671442,0.06,0.04,3.9388163722198765e-5,chr10-30058040-30060078
3.094272425024265e-10,0.5827205853792803,0.053,0.036,9.060493801334801e-5,chr5-116381846-116383263
4.662063475681765e-10,0.6169178872886034,0.05,0.032,1.365122116631756e-4,chr2-161416068-161417035
8.810724662935863e-10,0.5554030800449947,0.054,0.037,2.5799123421775647e-4,chr9-103037441-103038458
1.4452242590663586e-9,0.5982476898151381,0.05,0.033,4.231833414185158e-4,chr2-209388076-209389700
1.6580618750696039e-9,0.5491363358711885,0.055,0.038,4.8550538794850606e-4,chr4-68166376-68168612
3.049023788682451e-9,0.5118236529453757,0.064,0.045,8.927999006830519e-4,chr13-79305826-79308468
3.13917500482551e-8,0.5239206703607513,0.052,0.036,0.009191975290379815,chr1-160092044-160092997
3.721122626440386e-8,0.5467884324142336,0.051,0.035,0.010896005218611417,chr4-122004469-122006752
4.151274912247689e-8,0.5640068204654138,0.05,0.034,0.01215555563429807,chr1-160293295-160295191
6.67483261975262e-8,0.4936469075575056,0.057,0.041,0.019544911135528635,chr4-170259363-170260366
1.3429181570854657e-7,0.5310693393903119,0.051,0.036,0.03932265801669806,chr1-85580258-85581878
